annee,categorie
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Restaurant
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Bar / Café
1951,Restaurant
1951,Restaurant
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Club / Discothèque
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Restaurant
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Club / Discothèque
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Club / Société
1951,Club / Société
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Club / Société
1951,Bar / Café
1951,Bar / Café
1951,Restaurant
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Bar / Café
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Club / Société
1951,Restaurant
1951,Bar / Café
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Restaurant
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Hôtel / Pension
1951,Hôtel / Pension
1951,Restaurant
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Hôtel / Pension
1951,Hôtel / Pension
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Club / Société
1951,Restaurant
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Restaurant
1951,Bar / Café
1951,Hôtel / Pension
1951,Club / Société
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Restaurant
1951,Hôtel / Pension
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
2026,Spectacle / Sociabilité
2026,Autre
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Club / Discothèque
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Club / Discothèque
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Club / Discothèque
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Club / Discothèque
2026,Restaurant
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Bar / Café
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Restaurant
2026,Hôtel / Pension
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Club / Discothèque
2026,Hôtel / Pension
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Autre
2026,Restaurant
2026,Bar / Café
2026,Hôtel / Pension
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Hôtel / Pension
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Club / Discothèque
2026,Club / Discothèque
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Hôtel / Pension
2026,Hôtel / Pension
2026,Restaurant
2026,Hôtel / Pension
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Hôtel / Pension
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Autre
2026,Club / Discothèque
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Hôtel / Pension
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Hôtel / Pension
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Club / Discothèque
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Autre
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Autre
2026,Autre
2026,Autre
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Hôtel / Pension
2026,Hôtel / Pension
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Spectacle / Sociabilité
2026,Club / Discothèque
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Autre
2026,Club / Discothèque
2026,Spectacle / Sociabilité
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Hôtel / Pension
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Autre
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Autre
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Hôtel / Pension
2026,Spectacle / Sociabilité
2026,Hôtel / Pension
2026,Hôtel / Pension
2026,Restaurant
2026,Autre
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Autre
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Autre
2026,Bar / Café
2026,Restaurant
2026,Club / Discothèque
2026,Club / Discothèque
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Club / Discothèque
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Hôtel / Pension
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Club / Discothèque
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Spectacle / Sociabilité
2026,Spectacle / Sociabilité
2026,Spectacle / Sociabilité
2026,Club / Discothèque
2026,Club / Discothèque
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Club / Discothèque
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Hôtel / Pension
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Hôtel / Pension
2026,Bar / Café
2026,Club / Discothèque
2026,Autre
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Bar / Café
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Club / Discothèque
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Hôtel / Pension
2026,Bar / Café
2026,Autre
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Bar / Café
2026,Restaurant
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Spectacle / Sociabilité
2026,Spectacle / Sociabilité
2026,Spectacle / Sociabilité
2026,Spectacle / Sociabilité
2026,Spectacle / Sociabilité
2026,Restaurant
2026,Spectacle / Sociabilité
2026,Bar / Café
